user_id,deviceType,current_epoch_end,date,lite,CPE
54,0,2018-03-16 10:44:45,2018-03-16 00:00:00,f,1
54,1,2018-03-16 10:45:00,2018-03-16 00:00:00,f,1
54,0,2018-03-16 10:47:00,2018-03-16 00:00:00,f,8
54,0,2018-03-16 10:47:15,2018-03-16 00:00:00,f,6
54,0,2018-03-16 11:34:30,2018-03-16 00:00:00,f,6
54,0,2018-03-16 11:34:45,2018-03-16 00:00:00,f,17
54,0,2018-03-16 11:35:00,2018-03-16 00:00:00,f,23
54,0,2018-03-16 11:35:30,2018-03-16 00:00:00,f,21
54,0,2018-03-16 11:35:45,2018-03-16 00:00:00,f,16
54,0,2018-03-16 11:36:00,2018-03-16 00:00:00,f,1
54,0,2018-03-16 12:21:45,2018-03-16 00:00:00,f,10
54,0,2018-03-16 12:27:45,2018-03-16 00:00:00,f,12
54,0,2018-03-16 12:33:15,2018-03-16 00:00:00,f,16
54,0,2018-03-16 12:33:30,2018-03-16 00:00:00,f,22
54,0,2018-03-16 12:33:45,2018-03-16 00:00:00,f,10
54,0,2018-03-16 12:34:15,2018-03-16 00:00:00,f,3
54,0,2018-03-16 12:34:30,2018-03-16 00:00:00,f,5
54,0,2018-03-16 12:35:00,2018-03-16 00:00:00,f,1
54,0,2018-03-16 12:35:15,2018-03-16 00:00:00,f,7
54,0,2018-03-16 12:35:30,2018-03-16 00:00:00,f,8
54,0,2018-03-16 12:35:45,2018-03-16 00:00:00,f,1
54,0,2018-03-16 12:36:00,2018-03-16 00:00:00,f,5
54,0,2018-03-16 12:36:15,2018-03-16 00:00:00,f,2
54,0,2018-03-16 12:36:30,2018-03-16 00:00:00,f,12
54,0,2018-03-16 12:36:45,2018-03-16 00:00:00,f,18
54,0,2018-03-16 12:37:00,2018-03-16 00:00:00,f,3
54,0,2018-03-16 12:39:30,2018-03-16 00:00:00,f,7
54,0,2018-03-16 12:39:45,2018-03-16 00:00:00,f,8
54,0,2018-03-16 12:40:15,2018-03-16 00:00:00,f,7
54,0,2018-03-16 12:40:30,2018-03-16 00:00:00,f,12
54,0,2018-03-16 12:40:45,2018-03-16 00:00:00,f,11
54,0,2018-03-16 12:41:00,2018-03-16 00:00:00,f,1
54,0,2018-03-16 12:49:15,2018-03-16 00:00:00,f,4
54,0,2018-03-16 12:49:30,2018-03-16 00:00:00,f,20
54,0,2018-03-16 12:49:45,2018-03-16 00:00:00,f,15
54,0,2018-03-16 12:50:00,2018-03-16 00:00:00,f,14
54,1,2018-03-16 12:50:00,2018-03-16 00:00:00,f,9
54,0,2018-03-16 12:50:15,2018-03-16 00:00:00,f,4
54,0,2018-03-16 12:50:30,2018-03-16 00:00:00,f,6
54,0,2018-03-16 20:42:30,2018-03-16 00:00:00,f,5
54,0,2018-03-16 20:42:45,2018-03-16 00:00:00,f,5
54,0,2018-03-16 20:55:30,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:05:15,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:16:00,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:26:00,2018-03-16 00:00:00,f,3
54,0,2018-03-16 21:26:15,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:26:30,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:27:45,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:29:15,2018-03-16 00:00:00,f,2
54,0,2018-03-16 21:31:30,2018-03-16 00:00:00,f,2
54,0,2018-03-16 21:31:45,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:32:45,2018-03-16 00:00:00,f,2
54,0,2018-03-16 21:34:00,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:37:30,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:37:45,2018-03-16 00:00:00,f,1
54,0,2018-03-16 21:41:30,2018-03-16 00:00:00,f,9
54,0,2018-03-16 21:41:45,2018-03-16 00:00:00,f,15
54,0,2018-03-16 21:42:00,2018-03-16 00:00:00,f,8
54,0,2018-03-16 21:42:15,2018-03-16 00:00:00,f,4
54,0,2018-03-16 21:42:30,2018-03-16 00:00:00,f,8
54,0,2018-03-16 21:48:15,2018-03-16 00:00:00,f,14
54,0,2018-03-16 21:48:30,2018-03-16 00:00:00,f,20
54,0,2018-03-16 21:48:45,2018-03-16 00:00:00,f,11
54,0,2018-03-16 21:49:00,2018-03-16 00:00:00,f,19
54,0,2018-03-16 21:49:15,2018-03-16 00:00:00,f,4
54,0,2018-03-16 21:49:30,2018-03-16 00:00:00,f,14
54,0,2018-03-16 21:50:00,2018-03-16 00:00:00,f,4
54,0,2018-03-16 21:50:15,2018-03-16 00:00:00,f,2
54,0,2018-03-16 21:50:30,2018-03-16 00:00:00,f,4
54,0,2018-03-16 21:52:15,2018-03-16 00:00:00,f,2
54,0,2018-03-16 21:52:30,2018-03-16 00:00:00,f,6
54,0,2018-03-16 21:52:45,2018-03-16 00:00:00,f,5
54,1,2018-03-16 22:06:00,2018-03-16 00:00:00,f,1
