"id","appID","day","data","user_id","lite"
"730","33","2018-03-23","{""breaks"":-2,""periods"":-9120000}","41","f"
"731","34","2018-03-24","{""breaks"":-2,""periods"":-9120000}","41","f"
"732","35","2018-03-24","{""breaks"":-2,""periods"":-9120000}","41","f"
"733","36","2018-03-25","{""breaks"":-2,""periods"":-9120000}","41","f"
"734","37","2018-03-25","{""breaks"":-2,""periods"":-9120000}","41","f"
"735","38","2018-03-26","{""breaks"":-2,""periods"":-9120000}","41","f"
"736","39","2018-03-26","{""breaks"":-2,""periods"":-9120000}","41","f"
"737","40","2018-03-27","{""breaks"":-2,""periods"":-9120000}","41","f"
"738","41","2018-03-27","{""breaks"":-2,""periods"":-9120000}","41","f"
"739","42","2018-03-28","{""breaks"":-2,""periods"":-9120000}","41","f"
"740","43","2018-03-28","{""breaks"":-2,""periods"":-9120000}","41","f"
"741","44","2018-03-29","{""breaks"":-2,""periods"":-9120000}","41","f"
"742","45","2018-03-29","{""breaks"":-2,""periods"":-9120000}","41","f"
"743","15","2018-04-11","{""breaks"":5,""periods"":0}","52","f"
"744","11","2018-04-12","{""breaks"":1,""periods"":0}","53","f"
"745","12","2018-04-12","{""breaks"":1,""periods"":0}","53","f"
"746","30","2018-04-11","{""breaks"":-1,""periods"":-5340000}","58","f"
"747","31","2018-04-11","{""breaks"":-1,""periods"":-5340000}","58","f"
"748","54","2018-04-15","{""breaks"":3,""periods"":4605000}","54","f"
"749","32","2018-04-13","{""breaks"":1,""periods"":-1680000}","58","f"
"750","33","2018-04-14","{""breaks"":-1,""periods"":-3660000}","58","f"
"751","34","2018-04-15","{""breaks"":-1,""periods"":-3660000}","58","f"
"752","34","2018-04-06","{""breaks"":-1,""periods"":-5490000}","55","f"
"753","35","2018-04-07","{""breaks"":-1,""periods"":-3750000}","55","f"
"754","36","2018-04-08","{""breaks"":-1,""periods"":-3750000}","55","f"
"755","37","2018-04-09","{""breaks"":-1,""periods"":-3750000}","55","f"
"756","38","2018-04-10","{""breaks"":-1,""periods"":-3750000}","55","f"
"757","39","2018-04-11","{""breaks"":-1,""periods"":-3750000}","55","f"
"758","40","2018-04-12","{""breaks"":-1,""periods"":-3750000}","55","f"
"759","41","2018-04-13","{""breaks"":-1,""periods"":-3750000}","55","f"
"760","42","2018-04-14","{""breaks"":-1,""periods"":-3750000}","55","f"
"761","43","2018-04-15","{""breaks"":-1,""periods"":-3750000}","55","f"
"762","44","2018-04-16","{""breaks"":3,""periods"":6480000}","55","f"
"763","35","2018-04-16","{""breaks"":-1,""periods"":-3660000}","58","f"
"764","36","2018-04-16","{""breaks"":-1,""periods"":-3660000}","58","f"
"765","45","2018-04-17","{""breaks"":-1,""periods"":-6615000}","55","f"
"766","18","2018-04-17","{""breaks"":2,""periods"":6075000}","50","f"
"767","46","2018-04-18","{""breaks"":2,""periods"":-3615000}","55","f"
"768","19","2018-04-18","{""breaks"":-3,""periods"":-6075000}","50","f"
"769","55","2018-04-16","{""breaks"":-4,""periods"":-4605000}","54","f"
"770","37","2018-04-17","{""breaks"":-1,""periods"":-3660000}","58","f"
"771","38","2018-04-18","{""breaks"":-1,""periods"":-3660000}","58","f"
"772","39","2018-04-19","{""breaks"":-1,""periods"":-3660000}","58","f"
"773","16","2018-04-13","{""breaks"":2,""periods"":3735000}","52","f"
"774","17","2018-04-13","{""breaks"":2,""periods"":3735000}","52","f"
"775","18","2018-04-14","{""breaks"":-3,""periods"":-3735000}","52","f"
"776","19","2018-04-14","{""breaks"":-3,""periods"":-3735000}","52","f"
"777","20","2018-04-15","{""breaks"":-3,""periods"":-3735000}","52","f"
"778","21","2018-04-15","{""breaks"":-3,""periods"":-3735000}","52","f"
"779","22","2018-04-16","{""breaks"":1,""periods"":-30000}","52","f"
"780","23","2018-04-17","{""breaks"":2,""periods"":-3705000}","52","f"
"781","13","2018-04-16","{""breaks"":1,""periods"":0}","53","f"
"782","40","2018-04-20","{""breaks"":4,""periods"":2775000}","58","f"
"783","41","2018-04-20","{""breaks"":4,""periods"":2775000}","58","f"
"784","14","2018-04-20","{""breaks"":5,""periods"":0}","53","f"
"785","15","2018-04-20","{""breaks"":5,""periods"":0}","53","f"
"786","4","2018-04-20","{""breaks"":-2,""periods"":-4800000}","39","f"
"787","42","2018-04-21","{""breaks"":-3,""periods"":-6435000}","58","f"
"788","20","2018-04-19","{""breaks"":1,""periods"":0}","50","f"
"789","43","2018-04-22","{""breaks"":3,""periods"":11490000}","58","f"
"790","44","2018-04-22","{""breaks"":3,""periods"":11490000}","58","f"
"791","21","2018-04-23","{""breaks"":3,""periods"":3645000}","50","f"
"792","45","2018-04-23","{""breaks"":-5,""periods"":-7035000}","58","f"
"793","22","2018-04-24","{""breaks"":0,""periods"":-3645000}","50","f"
"794","46","2018-04-24","{""breaks"":-3,""periods"":-2910000}","58","f"
"795","16","2018-03-13","{""breaks"":1,""periods"":4905000}","53","f"
"796","17","2018-03-13","{""breaks"":1,""periods"":4905000}","53","f"
"797","18","2018-03-24","{""breaks"":-5,""periods"":-3780000}","53","f"
"798","19","2018-03-24","{""breaks"":-5,""periods"":-3780000}","53","f"
"799","20","2018-03-25","{""breaks"":-5,""periods"":-3780000}","53","f"
"800","21","2018-03-25","{""breaks"":-5,""periods"":-3780000}","53","f"
"801","22","2018-03-26","{""breaks"":-1,""periods"":-3780000}","53","f"
"802","23","2018-03-26","{""breaks"":-1,""periods"":-3780000}","53","f"
"803","23","2018-04-24","{""breaks"":-1,""periods"":-6960000}","51","f"
"804","5","2018-04-24","{""breaks"":1,""periods"":4125000}","39","f"
"805","24","2018-04-25","{""breaks"":-1,""periods"":-4845000}","52","f"
"806","47","2018-04-25","{""breaks"":0,""periods"":-4440000}","58","f"
"807","25","2018-03-06","{""breaks"":0,""periods"":-4890000}","52","f"
"808","26","2018-03-06","{""breaks"":0,""periods"":-4890000}","52","f"
"809","27","2018-03-09","{""breaks"":-3,""periods"":-12840000}","52","f"
"810","28","2018-03-09","{""breaks"":-3,""periods"":-12840000}","52","f"
"811","29","2018-03-10","{""breaks"":-3,""periods"":-12840000}","52","f"
"812","30","2018-03-10","{""breaks"":-3,""periods"":-12840000}","52","f"
"813","31","2018-03-11","{""breaks"":-3,""periods"":-12840000}","52","f"
"814","32","2018-03-11","{""breaks"":-3,""periods"":-12840000}","52","f"
"815","33","2018-03-12","{""breaks"":-3,""periods"":-12840000}","52","f"
"816","34","2018-03-12","{""breaks"":-3,""periods"":-12840000}","52","f"
"817","35","2018-03-16","{""breaks"":-3,""periods"":-11820000}","52","f"
"818","36","2018-03-16","{""breaks"":-3,""periods"":-11820000}","52","f"
"819","37","2018-03-17","{""breaks"":-3,""periods"":-11820000}","52","f"
"820","38","2018-03-17","{""breaks"":-3,""periods"":-11820000}","52","f"
"821","39","2018-03-18","{""breaks"":-3,""periods"":-11820000}","52","f"
"822","40","2018-03-18","{""breaks"":-3,""periods"":-11820000}","52","f"
"823","41","2018-03-19","{""breaks"":-2,""periods"":-11820000}","52","f"
"824","42","2018-03-19","{""breaks"":-2,""periods"":-11820000}","52","f"
"825","43","2018-03-28","{""breaks"":-1,""periods"":-5640000}","52","f"
"826","44","2018-03-28","{""breaks"":-1,""periods"":-5640000}","52","f"
"827","45","2018-03-29","{""breaks"":-1,""periods"":-765000}","52","f"
"828","46","2018-03-29","{""breaks"":-1,""periods"":-765000}","52","f"
"829","47","2018-03-30","{""breaks"":-1,""periods"":-4875000}","52","f"
"830","48","2018-03-30","{""breaks"":-1,""periods"":-4875000}","52","f"
"831","49","2018-03-31","{""breaks"":-1,""periods"":-4875000}","52","f"
"832","50","2018-03-31","{""breaks"":-1,""periods"":-4875000}","52","f"
"833","51","2018-04-01","{""breaks"":-1,""periods"":-4875000}","52","f"
"834","52","2018-04-01","{""breaks"":-1,""periods"":-4875000}","52","f"
"835","53","2018-04-02","{""breaks"":-1,""periods"":-4875000}","52","f"
"836","54","2018-04-02","{""breaks"":-1,""periods"":-4875000}","52","f"
"837","55","2018-04-03","{""breaks"":-1,""periods"":-4875000}","52","f"
"838","56","2018-04-03","{""breaks"":-1,""periods"":-4875000}","52","f"
"839","57","2018-04-04","{""breaks"":-1,""periods"":-4875000}","52","f"
"840","58","2018-04-04","{""breaks"":-1,""periods"":-4875000}","52","f"
"841","59","2018-04-05","{""breaks"":-1,""periods"":-4875000}","52","f"
"842","60","2018-04-05","{""breaks"":-1,""periods"":-4875000}","52","f"
"843","61","2018-04-06","{""breaks"":-1,""periods"":-4875000}","52","f"
"844","62","2018-04-06","{""breaks"":-1,""periods"":-4875000}","52","f"
"845","63","2018-04-07","{""breaks"":-1,""periods"":-4875000}","52","f"
"846","64","2018-04-07","{""breaks"":-1,""periods"":-4875000}","52","f"
"847","6","2018-04-25","{""breaks"":-1,""periods"":-90000}","39","f"
"848","7","2018-04-25","{""breaks"":-1,""periods"":-90000}","39","f"
"849","65","2018-04-08","{""breaks"":-1,""periods"":-4875000}","52","f"
"850","66","2018-04-08","{""breaks"":-1,""periods"":-4875000}","52","f"
"851","67","2018-04-09","{""breaks"":-1,""periods"":-4875000}","52","f"
"852","68","2018-04-09","{""breaks"":-1,""periods"":-4875000}","52","f"
"853","69","2018-04-10","{""breaks"":0,""periods"":-735000}","52","f"
"854","70","2018-04-12","{""breaks"":3,""periods"":-13455000}","52","f"
