"id","appID","timestamp","status","user_id","lite"
"3022","12","2018-03-21 16:26:13.177+00","f","51","f"
"3023","29","2018-03-22 08:01:08.225+00","t","52","f"
"3024","33","2018-03-22 08:31:13.986+00","t","55","f"
"3025","70","2018-03-22 09:13:46.627+00","t","50","f"
"3026","93","2018-03-22 09:16:21.391+00","f","54","f"
"3027","94","2018-03-22 09:16:53.409+00","t","54","f"
"3028","13","2018-03-22 09:22:33.769+00","t","51","f"
"3029","71","2018-03-22 14:05:16.489+00","f","50","f"
"3030","72","2018-03-22 14:05:18.126+00","t","50","f"
"3031","73","2018-03-22 14:42:39.592+00","f","50","f"
"3032","74","2018-03-22 14:42:41.273+00","t","50","f"
"3033","14","2018-03-22 16:40:13.991+00","f","51","f"
"3034","34","2018-03-22 18:47:00.757+00","f","55","f"
"3035","35","2018-03-23 07:39:30.718+00","t","55","f"
"3036","34","2018-03-23 08:18:27.733+00","t","53","f"
"3037","95","2018-03-23 08:36:11.463+00","f","54","f"
"3038","35","2018-03-23 15:34:57.303+00","f","53","f"
"3039","96","2018-03-25 10:08:37.632+00","t","54","f"
"3040","97","2018-03-25 10:08:44.903+00","f","54","f"
"3041","98","2018-03-25 10:08:46.158+00","t","54","f"
"3042","36","2018-03-26 07:12:06.945+00","t","53","f"
"3043","75","2018-03-26 07:59:45.431+00","t","50","f"
"3044","25","2018-03-26 08:54:18.684+00","t","58","f"
"3045","26","2018-03-26 08:54:35.347+00","f","58","f"
"3046","27","2018-03-26 08:54:36.962+00","t","58","f"
"3047","76","2018-03-26 08:57:17.331+00","f","50","f"
"3048","77","2018-03-26 08:57:18.701+00","t","50","f"
"3049","78","2018-03-26 09:11:10.855+00","f","50","f"
"3050","79","2018-03-26 09:11:11.979+00","t","50","f"
"3051","80","2018-03-26 10:40:33.885+00","f","50","f"
"3052","81","2018-03-26 10:40:35.294+00","t","50","f"
"3053","82","2018-03-26 13:14:15.337+00","f","50","f"
"3054","83","2018-03-26 13:14:22.435+00","t","50","f"
"3055","84","2018-03-26 13:15:14.302+00","f","50","f"
"3056","85","2018-03-26 13:15:16.999+00","t","50","f"
"3057","1","2018-03-26 13:17:48.664+00","t","3","f"
"3058","1","2018-03-26 14:04:11.48+00","t","57","f"
"3059","28","2018-03-26 14:19:31.842+00","f","58","f"
"3060","29","2018-03-26 14:19:35.074+00","t","58","f"
"3061","30","2018-03-26 14:19:38.373+00","f","58","f"
"3062","31","2018-03-26 14:19:42.586+00","t","58","f"
"3063","37","2018-03-26 15:02:19.303+00","f","53","f"
"3064","2","2018-03-26 15:06:36.253+00","f","57","f"
"3065","3","2018-03-26 15:06:39.21+00","t","57","f"
"3066","32","2018-03-26 15:08:02.221+00","f","58","f"
"3067","33","2018-03-26 15:08:06.994+00","t","58","f"
"3068","99","2018-03-26 19:46:52.819+00","t","54","f"
"3069","100","2018-03-26 20:56:15.543+00","f","54","f"
"3070","101","2018-03-27 08:17:39.317+00","t","54","f"
"3071","4","2018-03-26 15:07:23.021+00","f","57","f"
"3072","5","2018-03-27 09:00:51.355+00","t","57","f"
"3073","15","2018-03-27 09:38:29.858+00","t","51","f"
"3074","86","2018-03-27 10:31:36.614+00","t","50","f"
"3075","87","2018-03-27 10:32:43.557+00","f","50","f"
"3076","88","2018-03-27 10:39:04.401+00","t","50","f"
"3077","89","2018-03-27 11:21:46.534+00","f","50","f"
"3078","90","2018-03-27 11:21:47.894+00","t","50","f"
"3079","16","2018-03-27 16:02:04.558+00","f","51","f"
"3080","102","2018-03-27 18:49:01.035+00","f","54","f"
"3081","103","2018-03-27 18:49:02.597+00","t","54","f"
"3082","104","2018-03-27 20:31:08.161+00","f","54","f"
"3083","105","2018-03-27 20:39:05.128+00","t","54","f"
"3084","106","2018-03-27 20:39:07.114+00","f","54","f"
"3085","30","2018-03-22 15:04:43.255+00","f","52","f"
"3086","31","2018-03-28 06:44:50.736+00","t","52","f"
"3087","37","2018-03-26 15:02:19.303+00","f","53","f"
"3088","38","2018-03-28 07:16:00.324+00","t","53","f"
"3089","32","2018-03-28 07:44:05.62+00","f","52","f"
"3090","33","2018-03-28 07:44:15.573+00","t","52","f"
"3091","91","2018-03-28 08:09:24.41+00","t","50","f"
"3092","36","2018-03-28 08:31:45.223+00","t","55","f"
"3093","34","2018-03-28 09:13:10.462+00","f","52","f"
"3094","35","2018-03-28 09:16:40.526+00","t","52","f"
"3095","6","2018-03-27 12:35:36.329+00","f","57","f"
"3096","107","2018-03-28 10:05:50.635+00","t","54","f"
"3097","34","2018-03-28 10:33:39.002+00","f","58","f"
"3098","108","2018-03-28 11:40:16.679+00","f","54","f"
"3099","109","2018-03-28 12:03:55.936+00","t","54","f"
"3100","36","2018-03-28 12:41:48.52+00","f","52","f"
"3101","36","2018-03-28 12:41:48.52+00","f","52","f"
