"id","appID","timestamp","start","duration","user_id","active","details","lite"
"57","1","2017-11-16 09:47:53.22+00","2017-11-16 12:00:07.219+00","15300000","38","f","on holiday","f"
"58","1","2017-11-16 10:42:52.806+00","2017-11-16 10:42:18.01+00","0","31","t","I have been active but the light on bottle is flashing","f"
"59","1","2017-11-21 12:40:06.014+00","2017-11-21 11:50:38.047+00","660000","32","t","wristband not connected","f"
"60","2","2017-11-21 12:54:11.563+00","2017-11-21 12:49:59.932+00","240000","32","t","","f"
"61","1","2017-11-21 15:00:32.686+00","2017-11-21 10:30:55.057+00","60000","39","t","override","f"
"62","2","2017-11-21 15:01:28.174+00","2017-11-21 11:30:55.131+00","300000","39","t","override ","f"
"63","3","2017-11-21 15:06:37.953+00","2017-11-21 14:50:22.175+00","960000","32","t","","f"
"64","4","2017-11-21 15:31:19.759+00","2017-11-21 15:31:04.787+00","0","32","t","","f"
"65","1","2017-11-21 16:05:25.713+00","2017-11-21 14:49:44.339+00","4320000","42","t","moved into Sheila's office ","f"
"66","5","2017-11-22 11:30:42.756+00","2017-11-22 09:50:13.664+00","780000","32","t","","f"
"67","6","2017-11-22 11:31:08.588+00","2017-11-22 10:03:46.166+00","5220000","32","f","in a meeting","f"
"68","7","2017-11-22 11:41:20.171+00","2017-11-22 11:25:51.206+00","300000","32","t","","f"
"69","2","2017-11-22 12:46:07.763+00","2017-11-22 11:45:41.788+00","3600000","42","f","wrist device would not connect","f"
"70","3","2017-11-22 12:48:27.631+00","2017-11-22 11:47:38.223+00","2160000","42","t","moved to another room","f"
"71","4","2017-11-22 13:02:14.889+00","2017-11-22 12:45:45.787+00","960000","42","t","active","f"
"72","5","2017-11-22 13:02:22.84+00","2017-11-22 13:02:19.771+00","0","42","t","","f"
"73","6","2017-11-22 15:30:06.47+00","2017-11-22 15:10:39.021+00","1140000","42","t","moved significantly","f"
"74","1","2017-11-23 13:48:02.122+00","2017-11-23 12:30:50.7+00","3600000","32","t","pilates","f"
"75","7","2017-11-23 14:10:59.508+00","2017-11-23 13:57:28.808+00","780000","42","t","active","f"
"76","8","2017-11-23 15:05:30.174+00","2017-11-23 14:55:57.378+00","540000","42","t","comfort break","f"
"77","2","2017-11-24 09:01:31.349+00","2017-11-24 09:01:07.71+00","0","31","f","bottle device is still flashing ","f"
"78","3","2017-11-24 11:43:48.73+00","2017-11-24 10:08:03.437+00","900000","39","t","","f"
"79","4","2017-11-27 10:35:30.547+00","2017-11-27 09:02:02.942+00","4980000","39","f","","f"
"80","5","2017-11-27 10:35:47.271+00","2017-11-27 09:25:34.052+00","4200000","39","f","","f"
"81","6","2017-11-27 10:36:20.586+00","2017-11-27 09:25:05.781+00","660000","39","t","","f"
"82","1","2017-11-27 13:21:28.035+00","2017-11-27 12:21:11.542+00","14580000","3","t","test","f"
"83","1","2017-11-28 10:01:31.285+00","2017-11-28 08:55:16.185+00","3900000","29","t","making tea","f"
"84","2","2017-11-28 10:02:14.245+00","2017-11-28 09:59:58.464+00","120000","29","t","test override ","f"
"85","3","2017-11-28 10:03:03.996+00","2017-11-28 09:50:32.731+00","300000","29","t","test override","f"
"86","2","2017-11-28 10:14:59.46+00","2017-11-28 08:57:20.127+00","4620000","32","f","forgot to turn it on, sorry","f"
"87","4","2017-11-28 11:50:08.758+00","2017-11-28 11:47:55.984+00","60000","29","t","test","f"
"88","5","2017-11-28 12:00:33.206+00","2017-11-28 10:10:13.602+00","3000000","29","f","misclassified","f"
"89","6","2017-11-28 12:01:33.478+00","2017-11-28 11:35:14.952+00","600000","29","t","test","f"
"90","1","2017-11-28 15:19:22.154+00","2017-11-28 15:06:05.594+00","60000","29","t","test override","f"
"91","2","2017-11-28 15:25:15.63+00","2017-11-28 15:15:57.82+00","480000","29","t","test","f"
"92","3","2017-11-28 15:25:42.65+00","2017-11-28 15:07:27.979+00","480000","29","t","test","f"
"93","4","2017-11-29 10:58:51.57+00","2017-11-29 10:57:36.589+00","60000","29","t","test override ","f"
"94","1","2017-11-29 14:01:49.71+00","2017-11-29 13:58:19.351+00","180000","37","f","shaking arm to test not real break","f"
"95","3","2017-11-30 10:38:28.084+00","2017-11-30 09:30:01.914+00","1200000","32","t","coffee break","f"
"96","9","2017-11-30 10:55:05.678+00","2017-11-30 10:15:48.504+00","900000","42","f","comfort and tea nrak","f"
"97","10","2017-11-30 10:55:42.934+00","2017-11-30 10:16:10.464+00","1020000","42","t","","f"
"98","11","2017-11-30 12:04:57.886+00","2017-11-30 12:04:33.62+00","1020000","42","t","out of offoce","f"
"99","4","2017-11-30 12:28:24.148+00","2017-11-30 12:15:46.308+00","720000","41","f","started a Skype call at 11:30 so couldn't get active :)","f"
"100","4","2017-11-30 13:43:51.575+00","2017-11-30 12:30:24.977+00","3600000","32","t","pilates","f"
"101","12","2017-11-30 13:59:42.175+00","2017-11-30 13:52:21.727+00","420000","42","t","toilet break","f"
"102","1","2017-11-30 13:48:50.126+00","2017-11-30 13:00:38.559+00","2100000","30","t","alice in wonderland study","f"
"103","5","2017-12-01 08:37:30.436+00","2017-12-01 16:50:10.064+00","-29640000","32","f","sorry forgot to turn off yesterday","f"
"104","2","2017-12-04 16:12:13.331+00","2017-12-04 15:00:48.15+00","4260000","38","f","putting up Xmas tree","f"
"105","1","2017-12-05 11:22:12.838+00","2017-12-05 11:10:52.205+00","600000","32","t","","f"
